question,predicted_disease
"Recently, I noticed difficulty breathing, and it's getting worse. Should I be concerned?",Asthma
I've been dealing with diarrhea for a week now. What should I do?,Food poisoning
"Recently, I noticed abdominal pain, and it's getting worse. Should I be concerned?",Gallstones
I've been dealing with vomiting for a week now. What should I do?,Gastroenteritis
My chest has been redness. What could be causing this?,Rosacea
I've been dealing with redness for a week now. What should I do?,Contact dermatitis
Can bloating be a sign of something serious?,Lactose intolerance
I've been dealing with congestion for a week now. What should I do?,Sinusitis
Can diarrhea be a sign of something serious?,Cholera
I've been feeling muscle pain for the past few days. What could be the reason?,Lyme disease
"Recently, I noticed headache, and it's getting worse. Should I be concerned?",Migraine
I've had headache since last night. Could it be due to dehydration?,Migraine
Experiencing nausea along with mild discomfort. Do I need to see a doctor?,Gastroenteritis
I've had loss of appetite since last night. Could it be due to lack of sleep?,Depression
Could numbness be related to lack of exercise?,Pinched nerve
My arms has been rash. What could be causing this?,Psoriasis
Can loss of appetite be a sign of something serious?,Depression
"Whenever I sitting for long hours, I experience shortness of breath. Is this a medical condition?",Pneumonia
Can fatigue be a sign of something serious?,Hypothyroidism
I've been dealing with numbness for a week now. What should I do?,Multiple sclerosis
I've had weakness since last night. Could it be due to poor diet?,Neuropathy
Could nausea be related to lack of exercise?,Gastroenteritis
"Whenever I walking, I experience sweating. Is this a medical condition?",Hyperthyroidism
Could insomnia be related to smoking?,Restless leg syndrome
I've been dealing with weight loss for a week now. What should I do?,Cancer
I've had wheezing since last night. Could it be due to infection?,Bronchitis
"Whenever I exercising, I experience seizures. Is this a medical condition?",Brain injury
"Recently, I noticed joint pain, and it's getting worse. Should I be concerned?",Arthritis
Is it normal to have high fever along with headache?,Dengue
I've been feeling blurred vision for the past few days. What could be the reason?,Stroke
I've been feeling loss of appetite for the past few days. What could be the reason?,Gastroenteritis
I've been dealing with dizziness for a week now. What should I do?,Anemia
Can insomnia be a sign of something serious?,Depression
"Recently, I noticed abdominal pain, and it's getting worse. Should I be concerned?",Gallstones
Experiencing constipation along with mild discomfort. Do I need to see a doctor?,Colon obstruction
I've been dealing with insomnia for a week now. What should I do?,Sleep apnea
I've been feeling itching for the past few days. What could be the reason?,Kidney disease
"Recently, I noticed weakness, and it's getting worse. Should I be concerned?",Neuropathy
Experiencing excessive thirst along with mild discomfort. Do I need to see a doctor?,Dehydration
"Whenever I sitting for long hours, I experience chills. Is this a medical condition?",Pneumonia
I've been feeling headache for the past few days. What could be the reason?,Meningitis
Is it normal to have chills along with headache?,COVID-19
"Whenever I exercising, I experience rash. Is this a medical condition?",Chickenpox
Could body aches be related to lack of exercise?,Viral fever
"Recently, I noticed swelling, and it's getting worse. Should I be concerned?",Blood clot
Is it normal to have swelling along with dizziness?,Angioedema
I've been dealing with memory loss for a week now. What should I do?,Dementia
My arms has been shortness of breath. What could be causing this?,Heart failure
"Recently, I noticed muscle pain, and it's getting worse. Should I be concerned?",Polymyositis
I've had headache since last night. Could it be due to stress?,Tension headache
Experiencing rash along with mild discomfort. Do I need to see a doctor?,Eczema
My back has been headache. What could be causing this?,Migraine
Could memory loss be related to smoking?,Vitamin B12 deficiency
Could numbness be related to high sugar intake?,Peripheral neuropathy
Could stomach cramps be related to high sugar intake?,Food poisoning
I've been feeling memory loss for the past few days. What could be the reason?,Vitamin B12 deficiency
My legs has been weakness. What could be causing this?,Myasthenia gravis
Experiencing sweating along with mild discomfort. Do I need to see a doctor?,Hyperthyroidism
I've been dealing with muscle pain for a week now. What should I do?,Lyme disease
My back has been numbness. What could be causing this?,Peripheral neuropathy
I've been feeling insomnia for the past few days. What could be the reason?,Depression
Can muscle pain be a sign of something serious?,Polymyositis
I've been dealing with sweating for a week now. What should I do?,Anxiety
Is it normal to have difficulty breathing along with dizziness?,Pneumonia
Is it normal to have weight loss along with weakness?,Cancer
Can nausea be a sign of something serious?,Acid reflux
I've had swelling since last night. Could it be due to dehydration?,Blood clot
I've had joint pain since last night. Could it be due to infection?,Arthritis
My stomach has been wheezing. What could be causing this?,Anaphylaxis
I've been feeling weakness for the past few days. What could be the reason?,Malnutrition
Could high fever be related to high sugar intake?,Influenza
Could redness be related to high sugar intake?,Sunburn
Could dizziness be related to smoking?,Dehydration
Is it normal to have wheezing along with fatigue?,Bronchitis
Experiencing weakness along with mild discomfort. Do I need to see a doctor?,Neuropathy
"Recently, I noticed diarrhea, and it's getting worse. Should I be concerned?",Food poisoning
"Recently, I noticed shortness of breath, and it's getting worse. Should I be concerned?",COPD
"Whenever I sitting for long hours, I experience constipation. Is this a medical condition?",Hypothyroidism
Can itching be a sign of something serious?,Kidney disease
I've been dealing with chills for a week now. What should I do?,Malaria
Could confusion be related to smoking?,Alzheimers
Is it normal to have insomnia along with weakness?,Sleep apnea
Can memory loss be a sign of something serious?,Alzheimers
I've been feeling weight loss for the past few days. What could be the reason?,Cancer
I've been feeling itching for the past few days. What could be the reason?,Eczema
Can vomiting be a sign of something serious?,Gastroenteritis
Is it normal to have numbness along with weakness?,Pinched nerve
Could diarrhea be related to smoking?,Cholera
Is it normal to have congestion along with weakness?,Common cold
Can seizures be a sign of something serious?,Epilepsy
Is it normal to have excessive thirst along with dizziness?,Kidney disease
My legs has been swelling. What could be causing this?,Cellulitis
Could nausea be related to high sugar intake?,Pregnancy
I've been feeling abdominal pain for the past few days. What could be the reason?,Gastritis
Could insomnia be related to alcohol consumption?,Anxiety
Is it normal to have difficulty breathing along with weakness?,Heart failure
Experiencing fatigue along with mild discomfort. Do I need to see a doctor?,Anemia
Is it normal to have high fever along with dizziness?,Malaria
My head has been weight loss. What could be causing this?,Tuberculosis
Could chest pain be related to smoking?,GERD
Can constipation be a sign of something serious?,IBS
"Recently, I noticed itching, and it's getting worse. Should I be concerned?",Kidney disease
I've been feeling rash for the past few days. What could be the reason?,Chickenpox
Can blurred vision be a sign of something serious?,Diabetes
My head has been itching. What could be causing this?,Eczema
Could loss of appetite be related to high sugar intake?,Hepatitis
My head has been confusion. What could be causing this?,Hypoglycemia
"Recently, I noticed itching, and it's getting worse. Should I be concerned?",Fungal infections
"Recently, I noticed stomach cramps, and it's getting worse. Should I be concerned?",Menstrual cramps
Is it normal to have headache along with weakness?,Tension headache
I've been dealing with congestion for a week now. What should I do?,Common cold
I've been dealing with dizziness for a week now. What should I do?,Dehydration
I've been feeling high fever for the past few days. What could be the reason?,Malaria
Experiencing abdominal pain along with mild discomfort. Do I need to see a doctor?,Peptic ulcer
Is it normal to have blurred vision along with fatigue?,Retinal detachment
Can seizures be a sign of something serious?,Brain injury
"Whenever I exercising, I experience bloating. Is this a medical condition?",IBS
Is it normal to have vomiting along with nausea?,Migraine
Experiencing memory loss along with mild discomfort. Do I need to see a doctor?,Dementia
I've had weight loss since last night. Could it be due to poor diet?,Hyperthyroidism
Can joint pain be a sign of something serious?,Arthritis
Is it normal to have seizures along with nausea?,Epilepsy
Can seizures be a sign of something serious?,Brain injury
I've been dealing with itching for a week now. What should I do?,Eczema
"Recently, I noticed vomiting, and it's getting worse. Should I be concerned?",Migraine
I've been dealing with shortness of breath for a week now. What should I do?,Heart failure
I've been feeling memory loss for the past few days. What could be the reason?,Vitamin B12 deficiency
I've had weakness since last night. Could it be due to poor diet?,Malnutrition
Can wheezing be a sign of something serious?,COPD
Can muscle pain be a sign of something serious?,Viral infection flu
Experiencing confusion along with mild discomfort. Do I need to see a doctor?,Brain infection encephalitis
Can high fever be a sign of something serious?,Influenza
My head has been diarrhea. What could be causing this?,Irritable Bowel Syndrome IBS
My back has been sweating. What could be causing this?,Menopause
Is it normal to have blurred vision along with headache?,Retinal detachment
Experiencing seizures along with mild discomfort. Do I need to see a doctor?,Stroke
Experiencing memory loss along with mild discomfort. Do I need to see a doctor?,Dementia
I've been dealing with bloating for a week now. What should I do?,IBS
My back has been joint pain. What could be causing this?,Lupus
I've been dealing with muscle pain for a week now. What should I do?,Lyme disease
Is it normal to have congestion along with nausea?,Common cold
Is it normal to have nausea along with weakness?,Gastroenteritis
I've been feeling swelling for the past few days. What could be the reason?,Arthritis
"Whenever I walking, I experience diarrhea. Is this a medical condition?",Crohns disease
"Recently, I noticed stomach cramps, and it's getting worse. Should I be concerned?",Menstrual cramps
I've been feeling redness for the past few days. What could be the reason?,Sunburn
Could blisters be related to smoking?,Herpes
Is it normal to have weight loss along with dizziness?,Tuberculosis
I've been dealing with swelling for a week now. What should I do?,Cellulitis
Can constipation be a sign of something serious?,Colon obstruction
Can swelling be a sign of something serious?,Arthritis
I've been feeling itching for the past few days. What could be the reason?,Eczema
My chest has been nausea. What could be causing this?,Food poisoning
I've been dealing with confusion for a week now. What should I do?,Stroke
I've been dealing with congestion for a week now. What should I do?,Influenza
"Whenever I climbing stairs, I experience high fever. Is this a medical condition?",Malaria
I've been feeling bloating for the past few days. What could be the reason?,IBS
Experiencing loss of appetite along with mild discomfort. Do I need to see a doctor?,Depression
I've been feeling weakness for the past few days. What could be the reason?,Myasthenia gravis
Experiencing bloating along with mild discomfort. Do I need to see a doctor?,Small intestine bacterial overgrowth SIBO
Experiencing excessive thirst along with mild discomfort. Do I need to see a doctor?,Dehydration
Can blisters be a sign of something serious?,Herpes
"Whenever I exercising, I experience weight loss. Is this a medical condition?",Hyperthyroidism
Can redness be a sign of something serious?,Lupus
Could memory loss be related to lack of exercise?,Alzheimers
Could headache be related to smoking?,Tension headache
"Recently, I noticed diarrhea, and it's getting worse. Should I be concerned?",Food poisoning
I've had numbness since last night. Could it be due to poor diet?,Diabetes
"Recently, I noticed weight loss, and it's getting worse. Should I be concerned?",Cancer
My back has been diarrhea. What could be causing this?,Cholera
Can shortness of breath be a sign of something serious?,COPD
"Recently, I noticed loss of appetite, and it's getting worse. Should I be concerned?",Cancer
Can dizziness be a sign of something serious?,Low blood pressure
I've been feeling numbness for the past few days. What could be the reason?,Diabetes
Can difficulty breathing be a sign of something serious?,Pneumonia
My stomach has been memory loss. What could be causing this?,Vitamin B12 deficiency
Experiencing stomach cramps along with mild discomfort. Do I need to see a doctor?,Food poisoning
I've been feeling loss of appetite for the past few days. What could be the reason?,Hepatitis
I've been feeling high fever for the past few days. What could be the reason?,Dengue
My stomach has been joint pain. What could be causing this?,Gout
Can body aches be a sign of something serious?,Lyme disease
"Recently, I noticed vomiting, and it's getting worse. Should I be concerned?",Food poisoning
"Whenever I climbing stairs, I experience rash. Is this a medical condition?",Psoriasis
Experiencing blurred vision along with mild discomfort. Do I need to see a doctor?,Diabetes
I've been dealing with sweating for a week now. What should I do?,Anxiety
My head has been wheezing. What could be causing this?,Anaphylaxis
Experiencing shortness of breath along with mild discomfort. Do I need to see a doctor?,Heart failure
I've had abdominal pain since last night. Could it be due to lack of sleep?,Peptic ulcer
My head has been abdominal pain. What could be causing this?,Gastritis
I've had swelling since last night. Could it be due to poor diet?,Blood clot
"Recently, I noticed loss of appetite, and it's getting worse. Should I be concerned?",Gastroenteritis
I've had chest pain since last night. Could it be due to infection?,GERD
My stomach has been numbness. What could be causing this?,Peripheral neuropathy
Is it normal to have wheezing along with nausea?,Anaphylaxis
"Whenever I exercising, I experience headache. Is this a medical condition?",Hypertension
I've been dealing with loss of appetite for a week now. What should I do?,Gastroenteritis
Is it normal to have loss of appetite along with nausea?,Hepatitis
I've been feeling itching for the past few days. What could be the reason?,Scabies
I've had chills since last night. Could it be due to lack of sleep?,Malaria
Can numbness be a sign of something serious?,Multiple sclerosis
My back has been stomach cramps. What could be causing this?,Food poisoning
I've been dealing with high fever for a week now. What should I do?,Influenza
I've had high fever since last night. Could it be due to poor diet?,Malaria
"Whenever I climbing stairs, I experience body aches. Is this a medical condition?",Lyme disease
"Whenever I sitting for long hours, I experience nausea. Is this a medical condition?",Acid reflux
"Recently, I noticed blurred vision, and it's getting worse. Should I be concerned?",Diabetes
Can headache be a sign of something serious?,Hypertension
"Recently, I noticed itching, and it's getting worse. Should I be concerned?",Eczema
Can memory loss be a sign of something serious?,Brain tumor
Is it normal to have redness along with weakness?,Contact dermatitis
Can muscle pain be a sign of something serious?,Polymyositis
I've had difficulty breathing since last night. Could it be due to seasonal changes?,Pulmonary edema
My arms has been weakness. What could be causing this?,Neuropathy
"Recently, I noticed weakness, and it's getting worse. Should I be concerned?",Malnutrition
Can constipation be a sign of something serious?,Dehydration
I've been dealing with dizziness for a week now. What should I do?,Low blood pressure
I've been dealing with vomiting for a week now. What should I do?,Food poisoning
Could vomiting be related to lack of exercise?,Migraine
"Whenever I walking, I experience constipation. Is this a medical condition?",Hypothyroidism
My legs has been weight loss. What could be causing this?,Cancer
"Recently, I noticed sweating, and it's getting worse. Should I be concerned?",Menopause
I've had itching since last night. Could it be due to stress?,Eczema
I've been dealing with excessive thirst for a week now. What should I do?,Hypercalcemia
"Recently, I noticed blisters, and it's getting worse. Should I be concerned?",Chickenpox
"Whenever I exercising, I experience excessive thirst. Is this a medical condition?",Diabetes
My back has been seizures. What could be causing this?,Brain injury
I've had dizziness since last night. Could it be due to poor diet?,Vertigo
I've been dealing with itching for a week now. What should I do?,Eczema
My head has been blurred vision. What could be causing this?,Stroke
Is it normal to have swelling along with weakness?,Angioedema
"Recently, I noticed rash, and it's getting worse. Should I be concerned?",Psoriasis
Is it normal to have dizziness along with headache?,Dehydration
"Recently, I noticed weight loss, and it's getting worse. Should I be concerned?",Tuberculosis
"Recently, I noticed blisters, and it's getting worse. Should I be concerned?",Chickenpox
Is it normal to have high fever along with headache?,Malaria
My head has been shortness of breath. What could be causing this?,Pulmonary embolism
Is it normal to have seizures along with fatigue?,Meningitis
Could chest pain be related to alcohol consumption?,Pneumonia
"Whenever I sitting for long hours, I experience joint pain. Is this a medical condition?",Lupus
"Whenever I exercising, I experience blisters. Is this a medical condition?",Contact dermatitis
I've been feeling congestion for the past few days. What could be the reason?,Sinusitis
"Whenever I walking, I experience chills. Is this a medical condition?",Pneumonia
Could vomiting be related to high sugar intake?,Gastroenteritis
"Whenever I exercising, I experience nausea. Is this a medical condition?",Gastroenteritis
I've had congestion since last night. Could it be due to poor diet?,Sinusitis
I've been dealing with joint pain for a week now. What should I do?,Gout
Can weight loss be a sign of something serious?,Hyperthyroidism
I've had congestion since last night. Could it be due to stress?,Allergies
"Recently, I noticed headache, and it's getting worse. Should I be concerned?",Meningitis
I've had memory loss since last night. Could it be due to stress?,Alzheimers
Experiencing abdominal pain along with mild discomfort. Do I need to see a doctor?,Gallstones
Is it normal to have dizziness along with headache?,Low blood pressure
I've had weight loss since last night. Could it be due to poor diet?,Hyperthyroidism
Can seizures be a sign of something serious?,Brain injury
Experiencing seizures along with mild discomfort. Do I need to see a doctor?,Brain injury
I've been dealing with body aches for a week now. What should I do?,Viral fever
"Recently, I noticed weakness, and it's getting worse. Should I be concerned?",Neuropathy
I've been dealing with memory loss for a week now. What should I do?,Dementia
Can bloating be a sign of something serious?,Celiac disease
"Recently, I noticed insomnia, and it's getting worse. Should I be concerned?",Restless leg syndrome
My arms has been joint pain. What could be causing this?,Rheumatoid arthritis
I've had wheezing since last night. Could it be due to infection?,COPD
Could constipation be related to lack of exercise?,Hypothyroidism
Experiencing difficulty breathing along with mild discomfort. Do I need to see a doctor?,Pulmonary edema
I've been feeling headache for the past few days. What could be the reason?,Meningitis
I've had confusion since last night. Could it be due to seasonal changes?,Brain infection encephalitis
I've been feeling memory loss for the past few days. What could be the reason?,Dementia
I've been feeling shortness of breath for the past few days. What could be the reason?,Pulmonary embolism
Could swelling be related to high sugar intake?,Blood clot
I've had bloating since last night. Could it be due to infection?,Lactose intolerance
I've had body aches since last night. Could it be due to seasonal changes?,Fibromyalgia
I've been feeling congestion for the past few days. What could be the reason?,Sinusitis
Experiencing bloating along with mild discomfort. Do I need to see a doctor?,IBS
Can loss of appetite be a sign of something serious?,Hepatitis
"Recently, I noticed abdominal pain, and it's getting worse. Should I be concerned?",Peptic ulcer
Is it normal to have sweating along with headache?,Anxiety
Could swelling be related to smoking?,Angioedema
I've been feeling high fever for the past few days. What could be the reason?,Influenza
"Recently, I noticed rash, and it's getting worse. Should I be concerned?",Allergic reaction
I've been dealing with seizures for a week now. What should I do?,Epilepsy
"Whenever I exercising, I experience seizures. Is this a medical condition?",Epilepsy
I've been feeling itching for the past few days. What could be the reason?,Scabies
I've been feeling fatigue for the past few days. What could be the reason?,Chronic Fatigue Syndrome
Is it normal to have redness along with fatigue?,Sunburn
Is it normal to have itching along with headache?,Scabies
My legs has been redness. What could be causing this?,Rosacea
My chest has been abdominal pain. What could be causing this?,Gallstones
Experiencing cough along with mild discomfort. Do I need to see a doctor?,Tuberculosis
I've been dealing with abdominal pain for a week now. What should I do?,Peptic ulcer
My arms has been headache. What could be causing this?,Migraine
Could numbness be related to lack of exercise?,Peripheral neuropathy
"Recently, I noticed sweating, and it's getting worse. Should I be concerned?",Menopause
"Whenever I sitting for long hours, I experience chest pain. Is this a medical condition?",Heart attack
"Whenever I walking, I experience nausea. Is this a medical condition?",Pregnancy
I've been feeling bloating for the past few days. What could be the reason?,IBS
Can muscle pain be a sign of something serious?,Fibromyalgia
I've had loss of appetite since last night. Could it be due to lack of sleep?,Hepatitis
I've been dealing with abdominal pain for a week now. What should I do?,Gallstones
My legs has been constipation. What could be causing this?,Hypothyroidism
Experiencing redness along with mild discomfort. Do I need to see a doctor?,Sunburn
Experiencing shortness of breath along with mild discomfort. Do I need to see a doctor?,COPD
I've been dealing with itching for a week now. What should I do?,Eczema
"Recently, I noticed rash, and it's getting worse. Should I be concerned?",Eczema
"Whenever I sitting for long hours, I experience joint pain. Is this a medical condition?",Arthritis
I've been dealing with weakness for a week now. What should I do?,Stroke
Can congestion be a sign of something serious?,Allergies
I've been feeling swelling for the past few days. What could be the reason?,Angioedema
My back has been shortness of breath. What could be causing this?,Pulmonary embolism
Experiencing body aches along with mild discomfort. Do I need to see a doctor?,Lyme disease
I've been feeling redness for the past few days. What could be the reason?,Rosacea
Could muscle pain be related to lack of exercise?,Lyme disease
I've had blisters since last night. Could it be due to seasonal changes?,Chickenpox
Is it normal to have nausea along with fatigue?,Pregnancy
"Whenever I exercising, I experience blurred vision. Is this a medical condition?",Retinal detachment
Could sweating be related to smoking?,Anxiety
My legs has been weight loss. What could be causing this?,Cancer
I've been dealing with rash for a week now. What should I do?,Allergic reaction
Experiencing joint pain along with mild discomfort. Do I need to see a doctor?,Rheumatoid arthritis
I've been feeling seizures for the past few days. What could be the reason?,Stroke
I've had high fever since last night. Could it be due to dehydration?,Influenza
I've been feeling seizures for the past few days. What could be the reason?,Stroke
Experiencing weakness along with mild discomfort. Do I need to see a doctor?,Myasthenia gravis
"Whenever I walking, I experience sweating. Is this a medical condition?",Menopause
I've been dealing with weight loss for a week now. What should I do?,Tuberculosis
"Whenever I exercising, I experience body aches. Is this a medical condition?",Viral fever
Could blisters be related to smoking?,Herpes
Experiencing seizures along with mild discomfort. Do I need to see a doctor?,Stroke
Is it normal to have chest pain along with nausea?,GERD
Could excessive thirst be related to lack of exercise?,Dehydration
I've been dealing with vomiting for a week now. What should I do?,Migraine
My chest has been memory loss. What could be causing this?,Alzheimers
Experiencing nausea along with mild discomfort. Do I need to see a doctor?,Gastroenteritis
Is it normal to have rash along with headache?,Eczema
Is it normal to have joint pain along with dizziness?,Gout
I've had wheezing since last night. Could it be due to poor diet?,Anaphylaxis
Can nausea be a sign of something serious?,Food poisoning
Is it normal to have dizziness along with dizziness?,Low blood pressure
Is it normal to have wheezing along with nausea?,COPD
I've been feeling chest pain for the past few days. What could be the reason?,Pneumonia
I've had muscle pain since last night. Could it be due to dehydration?,Fibromyalgia
"Whenever I climbing stairs, I experience seizures. Is this a medical condition?",Meningitis
I've been feeling wheezing for the past few days. What could be the reason?,Anaphylaxis
My legs has been abdominal pain. What could be causing this?,Appendicitis
I've been dealing with insomnia for a week now. What should I do?,Depression
"Whenever I sitting for long hours, I experience numbness. Is this a medical condition?",Peripheral neuropathy
Could joint pain be related to smoking?,Rheumatoid arthritis
Can cough be a sign of something serious?,Tuberculosis
"Recently, I noticed abdominal pain, and it's getting worse. Should I be concerned?",Peptic ulcer
"Recently, I noticed sweating, and it's getting worse. Should I be concerned?",Hyperthyroidism
"Recently, I noticed loss of appetite, and it's getting worse. Should I be concerned?",Depression
I've had dizziness since last night. Could it be due to dehydration?,Vertigo
I've been feeling loss of appetite for the past few days. What could be the reason?,Gastroenteritis
I've had joint pain since last night. Could it be due to seasonal changes?,Rheumatoid arthritis
My chest has been bloating. What could be causing this?,IBS
I've been feeling chest pain for the past few days. What could be the reason?,Heart attack
Could muscle pain be related to lack of exercise?,Viral infection flu
My arms has been blurred vision. What could be causing this?,Diabetes
I've had stomach cramps since last night. Could it be due to dehydration?,Gastritis
I've had numbness since last night. Could it be due to infection?,Peripheral neuropathy
Could blurred vision be related to smoking?,Glaucoma
"Whenever I walking, I experience blisters. Is this a medical condition?",Herpes
I've been feeling fatigue for the past few days. What could be the reason?,Hypothyroidism
Experiencing excessive thirst along with mild discomfort. Do I need to see a doctor?,Diabetes
"Recently, I noticed rash, and it's getting worse. Should I be concerned?",Allergic reaction
I've had shortness of breath since last night. Could it be due to seasonal changes?,Pneumonia
"Whenever I walking, I experience vomiting. Is this a medical condition?",Gastroenteritis
My back has been weight loss. What could be causing this?,Hyperthyroidism
Experiencing memory loss along with mild discomfort. Do I need to see a doctor?,Dementia
Is it normal to have sweating along with weakness?,Anxiety
I've been dealing with body aches for a week now. What should I do?,Lyme disease
I've been feeling redness for the past few days. What could be the reason?,Lupus
Is it normal to have stomach cramps along with nausea?,Menstrual cramps
I've been feeling chills for the past few days. What could be the reason?,Sepsis
I've had rash since last night. Could it be due to dehydration?,Psoriasis
Could headache be related to smoking?,Tension headache
"Whenever I climbing stairs, I experience weakness. Is this a medical condition?",Myasthenia gravis
Is it normal to have itching along with fatigue?,Kidney disease
"Recently, I noticed muscle pain, and it's getting worse. Should I be concerned?",Polymyositis
Can vomiting be a sign of something serious?,Migraine
I've been dealing with loss of appetite for a week now. What should I do?,Depression
"Whenever I walking, I experience abdominal pain. Is this a medical condition?",Gastritis
"Whenever I exercising, I experience constipation. Is this a medical condition?",Colon obstruction
Could loss of appetite be related to smoking?,Hepatitis
My stomach has been vomiting. What could be causing this?,Gastroenteritis
Could nausea be related to alcohol consumption?,Gastroenteritis
"Whenever I exercising, I experience confusion. Is this a medical condition?",Hypoglycemia
Experiencing dizziness along with mild discomfort. Do I need to see a doctor?,Vertigo
"Recently, I noticed rash, and it's getting worse. Should I be concerned?",Eczema
"Whenever I sitting for long hours, I experience joint pain. Is this a medical condition?",Arthritis
"Recently, I noticed blurred vision, and it's getting worse. Should I be concerned?",Diabetes
Experiencing headache along with mild discomfort. Do I need to see a doctor?,Meningitis
Is it normal to have weight loss along with headache?,Hyperthyroidism
Could blisters be related to high sugar intake?,Burns
Is it normal to have itching along with fatigue?,Scabies
Can blisters be a sign of something serious?,Herpes
Can wheezing be a sign of something serious?,Anaphylaxis
My chest has been rash. What could be causing this?,Chickenpox
I've had fatigue since last night. Could it be due to dehydration?,Anemia
I've been feeling loss of appetite for the past few days. What could be the reason?,Gastroenteritis
Could excessive thirst be related to alcohol consumption?,Kidney disease
"Whenever I climbing stairs, I experience diarrhea. Is this a medical condition?",Irritable Bowel Syndrome IBS
"Recently, I noticed wheezing, and it's getting worse. Should I be concerned?",Asthma
I've had insomnia since last night. Could it be due to seasonal changes?,Depression
Could congestion be related to lack of exercise?,Allergies
Is it normal to have fatigue along with weakness?,Depression
I've been dealing with itching for a week now. What should I do?,Fungal infections
I've been feeling chest pain for the past few days. What could be the reason?,Angina
Experiencing body aches along with mild discomfort. Do I need to see a doctor?,Lyme disease
I've had excessive thirst since last night. Could it be due to seasonal changes?,Hypercalcemia
Is it normal to have redness along with nausea?,Rosacea
I've been dealing with rash for a week now. What should I do?,Chickenpox
Experiencing body aches along with mild discomfort. Do I need to see a doctor?,Influenza
Experiencing rash along with mild discomfort. Do I need to see a doctor?,Chickenpox
Is it normal to have chills along with weakness?,COVID-19
Can weight loss be a sign of something serious?,Tuberculosis
I've had wheezing since last night. Could it be due to infection?,Anaphylaxis
I've had chest pain since last night. Could it be due to poor diet?,Heart attack
Could chest pain be related to alcohol consumption?,Heart attack
I've been dealing with body aches for a week now. What should I do?,Viral fever
My legs has been body aches. What could be causing this?,Fibromyalgia
I've been dealing with chest pain for a week now. What should I do?,GERD
"Whenever I sitting for long hours, I experience itching. Is this a medical condition?",Fungal infections
"Whenever I exercising, I experience blurred vision. Is this a medical condition?",Diabetes
Can itching be a sign of something serious?,Eczema
Experiencing congestion along with mild discomfort. Do I need to see a doctor?,Influenza
I've been feeling swelling for the past few days. What could be the reason?,Cellulitis
Is it normal to have bloating along with fatigue?,Celiac disease
I've been feeling constipation for the past few days. What could be the reason?,Dehydration
I've been dealing with blurred vision for a week now. What should I do?,Glaucoma
"Whenever I climbing stairs, I experience chest pain. Is this a medical condition?",Heart attack
Is it normal to have body aches along with dizziness?,Viral fever
I've had chills since last night. Could it be due to seasonal changes?,COVID-19
Is it normal to have dizziness along with nausea?,Anemia
I've been dealing with excessive thirst for a week now. What should I do?,Diabetes
Experiencing blisters along with mild discomfort. Do I need to see a doctor?,Contact dermatitis
Is it normal to have congestion along with weakness?,Common cold
I've been dealing with sweating for a week now. What should I do?,Tuberculosis
I've been feeling bloating for the past few days. What could be the reason?,Celiac disease
I've had cough since last night. Could it be due to infection?,Asthma
My arms has been bloating. What could be causing this?,Celiac disease
I've been dealing with swelling for a week now. What should I do?,Cellulitis
Experiencing difficulty breathing along with mild discomfort. Do I need to see a doctor?,Pneumonia
Can fatigue be a sign of something serious?,Chronic Fatigue Syndrome
My chest has been muscle pain. What could be causing this?,Fibromyalgia
Experiencing vomiting along with mild discomfort. Do I need to see a doctor?,Food poisoning
I've been dealing with weight loss for a week now. What should I do?,Tuberculosis
"Whenever I walking, I experience blurred vision. Is this a medical condition?",Diabetes
I've been dealing with memory loss for a week now. What should I do?,Dementia
Can nausea be a sign of something serious?,Pregnancy
I've been dealing with shortness of breath for a week now. What should I do?,Pulmonary embolism
"Recently, I noticed blurred vision, and it's getting worse. Should I be concerned?",Stroke
I've been dealing with blisters for a week now. What should I do?,Herpes
Is it normal to have memory loss along with fatigue?,Vitamin B12 deficiency
Could rash be related to alcohol consumption?,Chickenpox
Experiencing weakness along with mild discomfort. Do I need to see a doctor?,Stroke
Can body aches be a sign of something serious?,Viral fever
Is it normal to have diarrhea along with fatigue?,Crohns disease
"Recently, I noticed numbness, and it's getting worse. Should I be concerned?",Diabetes
I've had blurred vision since last night. Could it be due to seasonal changes?,Diabetes
Experiencing shortness of breath along with mild discomfort. Do I need to see a doctor?,Pulmonary embolism
My back has been constipation. What could be causing this?,IBS
I've been feeling loss of appetite for the past few days. What could be the reason?,Gastroenteritis
Could fatigue be related to smoking?,Hypothyroidism
My arms has been abdominal pain. What could be causing this?,Appendicitis
I've had loss of appetite since last night. Could it be due to infection?,Cancer
I've been dealing with cough for a week now. What should I do?,Asthma
I've been feeling blurred vision for the past few days. What could be the reason?,Stroke
Experiencing excessive thirst along with mild discomfort. Do I need to see a doctor?,Hypercalcemia
I've had sweating since last night. Could it be due to poor diet?,Tuberculosis
Experiencing high fever along with mild discomfort. Do I need to see a doctor?,Typhoid fever
"Whenever I climbing stairs, I experience muscle pain. Is this a medical condition?",Fibromyalgia
I've been feeling excessive thirst for the past few days. What could be the reason?,Kidney disease
I've had confusion since last night. Could it be due to seasonal changes?,Alzheimers
I've had bloating since last night. Could it be due to stress?,Small intestine bacterial overgrowth SIBO
Can constipation be a sign of something serious?,Colon obstruction
Can stomach cramps be a sign of something serious?,IBS
I've had diarrhea since last night. Could it be due to poor diet?,Crohns disease
Is it normal to have constipation along with fatigue?,IBS
Could confusion be related to high sugar intake?,Alzheimers
